"subject","trial","phase","condition","look","outcome"
15,62,"acquisition","cs_plus_s",0,NA
15,63,"acquisition","cs_minus_ns",1,"reward"
15,64,"acquisition","cs_minus_s",1,"reward"
15,65,"acquisition","cs_plus_ns",1,"shock"
15,66,"acquisition","cs_plus_ns",1,"shock"
15,67,"acquisition","cs_minus_ns",0,NA
15,68,"acquisition","cs_minus_s",1,"reward"
15,69,"acquisition","cs_plus_ns",1,"shock"
15,70,"acquisition","cs_minus_ns",1,"reward"
15,71,"acquisition","cs_minus_s",1,"reward"
15,72,"acquisition","cs_minus_s",1,"reward"
15,73,"acquisition","cs_minus_s",1,"reward"
15,74,"acquisition","cs_plus_s",0,NA
15,75,"acquisition","cs_minus_ns",1,"reward"
15,76,"acquisition","cs_plus_s",1,"shock"
15,77,"acquisition","cs_plus_ns",0,NA
15,78,"acquisition","cs_minus_ns",1,"reward"
15,79,"acquisition","cs_plus_s",1,"shock"
15,80,"acquisition","cs_plus_s",0,NA
15,81,"acquisition","cs_plus_ns",1,"shock"
15,82,"acquisition","cs_plus_ns",1,"shock"
15,83,"acquisition","cs_plus_s",0,NA
15,84,"acquisition","cs_minus_s",1,"reward"
15,85,"acquisition","cs_minus_s",1,"reward"
15,86,"acquisition","cs_minus_s",1,"reward"
15,87,"acquisition","cs_plus_s",0,NA
15,88,"acquisition","cs_minus_s",1,"reward"
15,89,"acquisition","cs_plus_ns",1,"shock"
15,90,"acquisition","cs_minus_ns",1,"reward"
15,91,"acquisition","cs_minus_ns",0,NA
15,92,"acquisition","cs_plus_s",0,NA
15,93,"acquisition","cs_plus_s",1,"shock"
